,,,,,,,
codigo,nombre,descripcion ,precio,unidad,categoria,proveedor,tipo
N32,NVR,NVR4232-4KS3,304518.40,un ,producto,Smartsecure,producto
N32-E,NVR,NVR4232-4KS3,291200.00,un ,producto,Smartsecure,producto
H4TB,HDD 4 TB, ST4000VX015,216153.60,un ,producto,Smartsecure,producto
H6TB,HDD 6 TB,WD60EFFX,351984.00,un ,producto,Smartsecure,producto
UPS15,UPS 1500 VA,DH-PFM350-900-A,134780.80,un ,producto,Smartsecure,producto
UPS15,UPS 1500 VA,MR-UF1500,187185.60,un ,producto,Smartsecure,producto
SW24,Switch 24,DH-CS4228-24GT-240,559280.00,un ,producto,Smartsecure,producto
SW24,Switch 24,DH-CS4228-24GT-240,384337.60,un ,producto,Smartsecure,producto
SW8,Switch 8, DH-PFS3010-8ET-65,101764.80,un ,producto,Smartsecure,producto
SW8,Switch 8,POE208-100MB,58240.00,un ,producto,Smartsecure,producto
SW4,Switch 4,DH-PFS3006-4ET-36,56126.40,un ,producto,Smartsecure,producto
SW4,Switch 4,POE204-100MB,37760.00,un ,producto,Smartsecure,producto
RC20,Router Inalambrico,Archer C20,40588.80,un ,producto,Smartsecure,producto
RC21,Router Inalambrico,RG-EW1200G PRO ,66400.00,un ,producto,Smartsecure,producto
UBIM5,Antenas,Loco M5 (par),249584.00,par,producto,Smartsecure,producto
CPE51,Antenas,WI-CPE511H-KIT,191984.00,un,producto,Smartsecure,producto
1230T1,Camara Domo, DH-IPC-HDW1230T1-0280B,70497.60,un,producto,Smartsecure,producto
1430T1,Camara Domo,"
DH-IPC-HDW1431T1P-A-0280B-S6",83505.60,un,producto,Smartsecure,producto
1239S1,Cámara Bullet,DH-IPC-HFW1239S1-LED-0280B,70304.00,un,producto,Smartsecure,producto
2249S,Cámara Bullet,DH-IPC-HFW2249S-S-IL,93227.40,un,producto,Smartsecure,producto
304020,Gabinete exteriores,Gabinete Mural-304020,60784.00,un,producto,Smartsecure,producto
604550,Rack Gabinete interior,Gabinete Rack 6U Dahua 600x450x501,150512.00,un,producto,Smartsecure,producto
534020,Rack Gabinete interior,Gabinete Rack 4U Dahua 530X400X200,97492.80,un,producto,Smartsecure,producto
534060,Rack Gabinete interior,Gabinete Rack 12U Dahua 530x400x600,163440.00,un,producto,Smartsecure,producto
PATCH24,Patch panel,Patch panel 24 puertos Cat 6,24800.00,un,producto,Smartsecure,producto
PATCH24,Patch panel,Patch panel 24 puertos Cat 6,58072.00,un,producto,Smartsecure,producto
PATCH972,Patch cord,DH-PFM972-6U-2-S,3689.60,un,producto,Smartsecure,producto
CAT6305,Caja de cable Cat 6 305, DH-PFM923I-6UN-C,216929.60,un,producto,Smartsecure,producto
CAT6100,Caja de cable Cat 6 100,DH-PFM920I-6UN-C-100,76518.40,un,producto,Smartsecure,producto
CAN10050,Canaletas troncal 100x50,CANAL100X50,12744.00,un,producto,Smartsecure,producto
CAE100100,Caja estanca 100x100,Cono 10010070,3920.00,un,producto,Smartsecure,producto
D10S,Motor Corredera,D10 Standard,1022428.80,un,producto,APACOM,producto
D10S,Motor Corredera,D10 Standard,1024332.80,un,producto,APACOM,producto
D10SKIT,Motor Corredera,D10 Standard Kit 1(6 crem y 2 controles),1120000.00,kit,producto,APACOM,producto
D10SKIT,Motor Corredera,D10 Standard Kit 1(6 crem y 2 controles),1102281.60,kit,producto,APACOM,producto
D10T,Motor Corredera,D10 Turbo ,1129004.80,un,producto,APACOM,producto
D10TKIT,Motor Corredera,D10 Turbo (6 crem y 2 controles),1201289.60,kit,producto,APACOM,producto
D10TKIT,Motor Corredera,D10 Turbo (6 crem y 2 controles),1207003.20,kit,producto,APACOM,producto
D10TKIT 2,Motor Corredera,"D10  (6 crem, 2 controles 1 par de Photosmart Fotoceldas Inalámbricas)",1220365.50,kit,producto,APACOM,producto
D6KIT,Motor Corredera,D6  (6 crem y 2 controles),831912.00,kit,producto,APACOM,producto
D6KIT 2,Motor Corredera,D6  (6 crem y 2 controles),830048.00,kit,producto,APACOM,producto
D6KIT 3,Motor Corredera,"D6  (6 crem, 2 controles 1 par de Photosmart Fotoceldas Inalámbricas)",925248.00,kit,producto,APACOM,producto
CRM1MT,Cremalleras,Cremallera Mt 1 mt,12356.80,un,producto,APACOM,producto
CRM1MT,Cremalleras,Cremallera Mt 1 mt,12356.80,un,producto,APACOM,producto
CREM1N,Cremalleras,Cremallera Nylon 1 mt,13308.80,un,producto,APACOM,producto
CREM1N,Cremalleras,Cremallera Nylon 1 mt,13308.80,un,producto,APACOM,producto
PHSMRT,Fotocelda,Photon Smart (par),95180.80,par,producto,APACOM,producto
PHSMRT,Fotocelda,Photon Smart (par),95180.80,par,producto,APACOM,producto
NOVA2,Controles,Control NOVA 2CH,16934.70,un,producto,APACOM,producto
NOVA2,Controles,Control NOVA 2CH,14260.80,un,producto,APACOM,producto
WP17,Sistema Apertura,Controlador Wifi WP17,242760.00,un,producto,RW,producto
BALNC1224,Baliza,Baliza NICE  12-38V,51388.80,un,producto,RW,producto
BALNC1225,Baliza,Baliza NICE  12-38V,90688.00,un,producto,Prodalam,producto
KITG4060,Juego de guías,Set de Guias 40x60,26718.40,kit,producto,Prodalam,producto
GN4060,Guias,Guias Nylon 40x60,12154.80,un,producto,Prodalam,producto
GN4060,Guias,Guias Nylon 40x60,8633.10,un,producto,Prodalam,producto
GN40120,Guias,Guias Nylon 40x120,19355.70,un,producto,Prodalam,producto
FERRV,Ferretería,Ferreterías varias,105000.00,gl,producto,Prodalam,producto
R100,Ruedas,Ruedas c/ Pasador 100 mm,25714.50,un,producto,Prodalam,producto
R100,Ruedas,Ruedas c/ Pasador 100 mm,41972.70,un,producto,Prodalam,producto
28OA,28OA,Dahua DHI-ASF280A-V1,72972.70,un,producto,Prodalam,producto
280HS,280HS,ZK Teco CM-280HS,77318.80,un,producto,Smartsecure,producto
